Title,Date
"Game of Thrones","04/17/21"
"Stranger Things","07/15/22"
"The Sopranos","01/10/20"
"Friends","09/22/23"
"The Office","12/17/21"
"Westworld","03/05/22"
"The Mandalorian","11/12/20"
"True Detective","02/09/23"
"Fargo","06/15/21"
"Black Mirror","12/28/22"
"Sherlock","01/01/20"
"The Crown","11/04/23"
"House of the Dragon","08/21/22"
"Dexter","09/30/20"
"The Walking Dead","10/31/21"
"Better Call Saul","04/18/22"
"Narcos","08/28/20"
"The Witcher","12/20/21"
"Peaky Blinders","09/25/22"
"Succession","03/26/23"
"Ted Lasso","08/14/21"
"Yellowstone","11/07/20"
